Ranking,Gen,Importancia
62,mature_miRNA:hsa-miR-339-5p,0.0030913463795834385
63,mature_miRNA:hsa-miR-27b-3p,0.0030883469800827615
64,"tRNA:tRNA-Asp,AF037471",0.0030843760486316805
65,lncRNA:NR_026677:6002:MIR600HG:1_6002,0.0030797765774060125
66,precursor_miRNA:hsa-mir-409,0.0030097177018486294
67,precursor_miRNA:hsa-mir-328,0.0030048100063585857
68,lncRNA:XR_432024:822:RP5-1120P11.1:1_822,0.002989836395621923
69,mRNA:NM_173628:13723:NA:1_13723,0.0029287242410453176
70,mature_miRNA:xtr-miR-9b-5p,0.0029235901783943134
71,mRNA:NM_198461:13920:NA:1_13920,0.0029218486156678313
72,mature_miRNA:hsa-miR-29b-3p,0.0028932157691048646
73,precursor_miRNA:hsa-mir-451a,0.002849386954515169
74,precursor_miRNA:hsa-mir-7641-2,0.0028446145806115676
75,piwiRNA:hsa_piR_019949,0.00280980707973183
76,mature_miRNA:hsa-miR-148b-3p,0.0027967409421468734
77,precursor_miRNA:cfa-mir-7180,0.002794118673415119
78,C-PLACE6001933,0.002762490512648289
79,mature_miRNA:cbn-miR-84,0.0027422591389496377
80,tRNA:NT_026437#2101165#2101236#tRNA-Pro,0.002734463030973918
81,mRNA:XM_005268999:1866:NA:1_1866,0.002715583301880672
82,A-NT2RP7011570,0.0026979083496404864
83,lncRNA:NR_033805:5376:WAC-AS1:1_5376,0.002690947630047768
84,piwiRNA:hsa_piR_000045,0.0026869926008729703
85,mRNA:XM_005255673:1705:NA:1_1705,0.0026764931959458965
86,precursor_miRNA:hsa-mir-28,0.002655271605948502
87,transcribed_RNA:NR_003011:127:NA:1_127,0.002637596109578706
88,"tRNA:tRNA-Met,X04547",0.0026330050471756864
89,C-PROST2003635,0.002632487035244215
90,mRNA:NM_005171:2505:NA:1_2505,0.0026040908815646445
91,C-BRTHA2014909,0.002602319818989274
92,mature_miRNA:hsa-miR-127-3p,0.002588171700578215
93,mRNA:XM_006726635:1807:NA:1_1807,0.002540818600052487
94,precursor_miRNA:hsa-mir-433,0.00253913627353294
95,mRNA:NM_001166292:4298:NA:1_4298,0.002523359592174911
96,"precursor_miRNA:bta-mir-2904-1,bta-mir-2904-2,bta-mir-2904-3",0.0025225987320477102
97,precursor_miRNA:hsa-mir-495,0.0025205795883748113
98,mRNA:NM_003660:4756:NA:1_4756,0.0025195882748471955
99,mature_miRNA:hsa-miR-181b-3p,0.0025045163581412814
100,precursor_miRNA:bta-mir-378b,0.0024886299751961626
101,mature_miRNA:hsa-miR-27a-3p,0.0024818235354591356
102,tRNA:NT_022184#49298010#49298080#tRNA-Gly,0.0024464820465269895
103,precursor_miRNA:tni-mir-128-1,0.00244606459943563
104,C-BRAMY2044246,0.0024336919112845803
105,snoRNA:NR_004378:137:SNORD94:1_137,0.0024290515351757217
106,precursor_miRNA:hsa-mir-4508,0.0024286774692171163
107,mRNA:XM_005245455:1126:NA:1_1126,0.0024286295532493073
108,mRNA:NM_015934:1979:NA:1_1979,0.002393278196316357
109,pseudo:NR_027053:8226:LOC646214:1_8226,0.0023878897109180387
110,mature_miRNA:hsa-miR-1264,0.0023764654361230204
111,lncRNA:NR_073178:2934:RP11-219G17.4:1_2934,0.002367332495330456
112,mRNA:NM_199121:4264:NA:1_4264,0.002364602339417743
113,mature_miRNA:ppy-miR-676,0.00235606590279946
114,lncRNA:NR_110260:2305:AC010127.3:1_2305,0.0023372757788285444
115,mRNA:NM_032103:9463:NA:1_9463,0.002317587751595338
116,C-PROST2017701,0.0023113691900949994
117,mature_miRNA:hsa-miR-451a,0.0023060343418971146
118,lncRNA:XR_428946:821:LOC102724064:1_821,0.00229540464710578
119,precursor_miRNA:hsa-mir-181c,0.002291594139323058
120,lncRNA:NR_027276:2299:RP11-713P17.3:1_2299,0.0022654738940278275
121,mRNA:NM_001988:6587:NA:1_6587,0.002259206735259962
122,piwiRNA:hsa_piR_007979,0.0022578912202724714
123,mature_miRNA:hsa-miR-34c-3p,0.0022490026927887894
124,mature_miRNA:hsa-miR-505-3p,0.0022425885780939367
125,mature_miRNA:hsa-miR-490-5p,0.002237954419915155
126,mature_miRNA:hsa-miR-24-3p,0.002231948121989501
127,mRNA:NM_005299:960:NA:1_960,0.0022293859383925325
128,precursor_miRNA:hsa-let-7d,0.002211043092233921
129,tRNA:NW_003871088#79908#79980#tRNA-Arg,0.002208403396787696
130,mRNA:NM_015394:4417:NA:1_4417,0.0022033879565958713
131,mRNA:NM_006241:3475:NA:1_3475,0.0022023388129613596
132,mature_miRNA:hsa-miR-9-5p,0.0021947963488976154
133,precursor_miRNA:hsa-mir-1260b,0.0021931205146775
134,mRNA:NM_002703:3713:NA:1_3713,0.0021899098388189118
135,GNOMON_232966573,0.0021867522793910374
136,precursor_miRNA:hsa-mir-320a,0.0021824147915589284
137,lncRNA:NR_040772:1617:RP11-307C12.11:1_1617,0.0021810352696840225
138,mature_miRNA:hsa-miR-152-3p,0.0021738928784355
139,precursor_miRNA:hsa-mir-105-2,0.0021564423975321424
140,mRNA:NM_152745:2931:NA:1_2931,0.0021510998126127783
141,mRNA:XM_006715639:3787:NA:1_3787,0.002135307651440601
142,mRNA:NM_032104:9644:NA:1_9644,0.0021198458256220004
143,mRNA:NM_032096:2436:NA:1_2436,0.0021182818176414915
144,mRNA:XM_006723466:4433:NA:1_4433,0.0021086742807808995
145,mRNA:NM_001007593:2479:NA:1_2479,0.002107592924120586
146,lncRNA:NR_046666:2078:CACNA2D3-AS1:1_2078,0.002094865663640651
147,mRNA:XM_006718939:2507:NA:1_2507,0.0020919600594211355
148,mature_miRNA:hsa-miR-194-5p,0.0020859208712579454
149,mature_miRNA:hsa-miR-26a-1-3p,0.00206323692594677
150,"tRNA:tRNA-Ala,HG983591",0.0020594033918916008
151,tRNA:NT_022135#20843364#20843435#tRNA-Glu,0.002025406254916793
152,GNOMON_233118701,0.002016072682296951
153,lncRNA:NR_024237:761:LOC100132111:1_761,0.002015572102642534
154,mRNA:NM_003245:2679:NA:1_2679,0.002007565531520658
155,mRNA:NM_006477:1504:NA:1_1504,0.0019941954428208323
156,mRNA:NM_001039467:1493:NA:1_1493,0.0019918559918844485
157,precursor_miRNA:hsa-mir-23a,0.001989073175802768
158,lncRNA:NR_024389:7650:FLJ16779:1_7650,0.001959013162785468
159,"tRNA:tRNA-Glu,HG983788",0.0019553085782956915
160,mRNA:XM_005254548:4710:NA:1_4710,0.0019535077764177926
161,mRNA:XM_006712148:4470:NA:1_4470,0.0019497532442490939
162,mRNA:NM_033119:8716:NA:1_8716,0.0019382869477701239
163,snoRNA:NR_004380:80:SNORD104:1_80,0.0019369239727929908
164,mRNA:NM_015056:5087:NA:1_5087,0.0019366516691429493
165,mature_miRNA:hsa-miR-184,0.0019341835194001608
166,mRNA:NM_002417:12507:NA:1_12507,0.0019196626943975116
167,lncRNA:NR_047012:906:LINC00398:1_906,0.0019136289151707882
168,tRNA:NT_010393#22147032#22147113#tRNA-Leu,0.0018941957430974638
169,GNOMON_147212791,0.001871597987277302
170,GNOMON_232946257,0.001870645248004262
171,mRNA:NM_024541:4101:NA:1_4101,0.001870384775459167
172,C-COLON2000557,0.0018517519222717846
173,mRNA:NM_004705:3202:NA:1_3202,0.0018368198809585346
174,precursor_miRNA:hsa-let-7a-3,0.0018334734697899766
175,precursor_miRNA:hsa-mir-676,0.0018290712136015727
176,snoRNA:NR_002735:73:SNORD61:1_73,0.0018006304654015926
177,mature_miRNA:hsa-miR-425-3p,0.001782355331093453
178,precursor_miRNA:hsa-mir-340,0.001777154972983542
179,mRNA:NM_017677:2675:NA:1_2675,0.0017709018491585595
180,mRNA:XM_005249042:6232:NA:1_6232,0.0017702761340410024
181,mRNA:XM_005259688:2202:NA:1_2202,0.0017699950651473943
182,mRNA:NM_001190476:1231:NA:1_1231,0.0017562182076345345
183,mRNA:XM_005267726:2261:NA:1_2261,0.0017536005136403552
184,mature_miRNA:hsa-miR-592,0.0017524511832814596
185,"mature_miRNA:xtr-miR-16c,oan-miR-16c-5p,gga-miR-16c-5p,tgu-miR-16c,aca-miR-16b-5p",0.001750712139222196
186,mRNA:XM_005255457:8662:NA:1_8662,0.001749814825988252
187,mRNA:XM_005248237:5082:NA:1_5082,0.0017386198375356427
188,mature_miRNA:hsa-let-7g-3p,0.001735693551960316
189,lncRNA:NR_024425:2121:PTGES2-AS1:1_2121,0.0017353863912836366
190,mature_miRNA:hsa-miR-200a-3p,0.001735267933558724
191,mRNA:XM_006719151:1651:NA:1_1651,0.0017334863058861539
192,lncRNA:NR_040026:1884:RP11-456O19.4:1_1884,0.0017183302462838355
193,snoRNA:NR_000025:146:SNORD15B:1_146,0.001705154462808226
194,precursor_miRNA:hsa-mir-6087,0.0017041895751104545
195,"tRNA:tRNA-Glu,HG983767",0.0017019770738729348
196,lncRNA:XR_432720:821:LOC102724064:1_821,0.001700715211125709
197,mRNA:NM_001033925:3945:NA:1_3945,0.0016963760756120248
198,mRNA:NM_001001712:2047:NA:1_2047,0.001692424270307773
199,mature_miRNA:hsa-miR-10b-5p,0.0016769076489942262
200,mRNA:NM_001142546:8421:NA:1_8421,0.0016707902770492211
201,C-FCBBF3013846,0.0016629238730651063
202,mRNA:NM_031500:2594:NA:1_2594,0.0016620953682774241
203,C-BRHIP3032311,0.0016616048888348717
204,mRNA:NM_001276318:4495:NA:1_4495,0.0016585095033002917
205,mRNA:NM_001160047:4636:NA:1_4636,0.001652158419327834
206,mRNA:NM_001190452:1555:NA:1_1555,0.0016505207463063192
207,mature_miRNA:ipu-miR-99b,0.0016423570270760962
208,mRNA:NM_007173:3806:NA:1_3806,0.0016396597679357826
209,mRNA:NM_001289174:3442:NA:1_3442,0.0016335944509113063
210,mRNA:XM_005269764:1452:NA:1_1452,0.001617668098422398
211,mature_miRNA:hsa-miR-769-5p,0.001609858099757995
212,precursor_miRNA:hsa-mir-99b,0.0016065951250873332
213,mRNA:XM_006717969:3889:NA:1_3889,0.0016042242510455734
214,precursor_miRNA:efu-mir-628,0.001601241457309542
215,mature_miRNA:hsa-miR-3168,0.0016001317501387015
216,snRNA:NR_023344:125:RNU6ATAC:1_125,0.0015912963477525863
217,C-BRACE2011025,0.0015838461004748859
218,mRNA:NM_205845:3521:NA:1_3521,0.001578408968071828
219,mRNA:NM_003120:1423:NA:1_1423,0.0015757013902756097
220,mRNA:NM_032808:2932:NA:1_2932,0.0015701385576195543
221,"tRNA:tRNA-Val,K00255",0.0015683877668394143
222,precursor_miRNA:hsa-mir-140,0.0015467593338220125
223,mRNA:NM_001076682:4944:NA:1_4944,0.0015118911112280422
224,C-CBR02570,0.0014948120038760372
225,mature_miRNA:hsa-miR-17-5p,0.001493784363072173
226,C-PLACE1003711,0.0014922025782864268
227,mRNA:NM_020813:4967:NA:1_4967,0.0014920015607120714
228,pseudo:NR_003191:1755:GGTA1P:1_1755,0.001491546271555229
229,misc_RNA:XR_242898:9377:BICD1:1_9377,0.0014876567123111818
230,mRNA:XM_006725022:6680:NA:1_6680,0.0014801680673214254
231,precursor_miRNA:rno-mir-126a,0.0014774244800017495
232,mature_miRNA:hsa-miR-370-3p,0.0014773146982400417
233,precursor_miRNA:hsa-let-7e,0.001476194060227718
234,tRNA:NT_026446#2762528#2762599#tRNA-Glu,0.0014757171916713807
235,piwiRNA:hsa_piR_022437,0.0014635869195784228
236,"mature_miRNA:asu-miR-100a-5p,prd-miR-100-5p",0.0014596401386644618
237,mature_miRNA:hsa-miR-100-5p,0.001455816489523875
238,lncRNA:NR_027102:2869:LINC00606:1_2869,0.0014394780000040067
239,GNOMON_232963514,0.0014326142972443025
240,lncRNA:NR_027317:1964:C3orf65:1_1964,0.0014292840482524026
241,mRNA:NM_130436:6580:NA:1_6580,0.0014283785586410977
242,mRNA:NM_001190470:1036:NA:1_1036,0.00141815616178916
243,tRNA:NC_012920#4402#4469#tRNA-Met,0.001413033386621929
244,mRNA:XM_005260558:2593:NA:1_2593,0.0014108375034018771
245,mature_miRNA:hsa-miR-629-5p,0.001408329779268066
246,mRNA:NM_001164211:5595:NA:1_5595,0.0014022525049888477
247,lncRNA:NR_104644:2924:RP11-245M24.1:1_2924,0.0013966425779772737
248,precursor_miRNA:hsa-mir-325,0.0013952355756864795
249,piwiRNA:hsa_piR_008488,0.0013928554065412925
250,precursor_miRNA:hsa-mir-103a-1,0.0013904155807630643
251,mRNA:NM_024613:2977:NA:1_2977,0.0013762969156466812
252,mRNA:NM_198955:4068:NA:1_4068,0.0013713304795097928
253,mRNA:XM_005250322:2159:NA:1_2159,0.0013645343022802342
254,mature_miRNA:hsa-miR-383-5p,0.001359241450265025
255,mRNA:NM_022834:4659:NA:1_4659,0.0013590914673797649
256,mature_miRNA:hsa-miR-374b-5p,0.0013434826840835509
257,C-HLUNG2008480,0.0013423021851041441
258,mRNA:NM_015093:4395:NA:1_4395,0.0013409254896393002
259,mRNA:NM_001042371:3136:NA:1_3136,0.0013407206700313727
260,piwiRNA:hsa_piR_016946,0.0013346441410449657
261,tRNA:NT_007592#28386400#28386481#tRNA-Leu,0.0013314800401937404
262,precursor_miRNA:hsa-mir-138-2,0.0013245409097717548
263,mRNA:NM_005828:6394:NA:1_6394,0.0013136764764856014
264,mRNA:NM_018212:13109:NA:1_13109,0.0013122355744812062
265,lncRNA:NR_027038:6669:MBNL1-AS1:1_6669,0.0013069519390845343
266,precursor_miRNA:hsa-mir-30c-2,0.0013014577083876714
267,mRNA:NM_001098272:5450:NA:1_5450,0.0012993406303972459
268,mRNA:NM_018156:16266:NA:1_16266,0.0012977353531345096
269,mature_miRNA:hsa-miR-181c-5p,0.001295754043277464
270,mature_miRNA:hsa-miR-21-3p,0.0012955101727456261
271,mature_miRNA:hsa-miR-122-5p,0.0012949770753655399
272,mRNA:XM_005260559:2272:NA:1_2272,0.001284870805996955
273,mRNA:NM_015156:5774:NA:1_5774,0.0012769404545794581
274,mRNA:NM_032779:4339:NA:1_4339,0.0012764740072137846
275,GNOMON_152727400,0.0012646903090266124
276,mRNA:NM_030641:10156:NA:1_10156,0.0012636322071378336
277,mRNA:NM_001190472:1383:NA:1_1383,0.001262768305977726
278,snoRNA:NR_000008:126:SNORD22:1_126,0.0012556760158335795
279,mRNA:NM_152486:2575:NA:1_2575,0.001249185096335911
280,piwiRNA:hsa_piR_021214,0.0012425436006625757
281,mature_miRNA:hsa-let-7i-5p,0.0012419878914623212
282,mature_miRNA:pma-miR-129a-5p,0.0012417931704812519
283,mRNA:XM_005271161:4048:NA:1_4048,0.0012374155338431034
284,mature_miRNA:hsa-miR-374a-5p,0.0012320487371539886
285,mRNA:NM_207419:3406:NA:1_3406,0.0012312901135344441
286,lncRNA:NR_015425:1045:LINC00705:1_1045,0.001224698787619838
287,antisense_RNA:NR_002776:2314:MCM3AP-AS1:1_2314,0.0012229695014895135
288,piwiRNA:hsa_piR_022628,0.0012184436316111642
289,mRNA:NM_022130:2676:NA:1_2676,0.0012075990514123656
290,mature_miRNA:hsa-miR-4732-5p,0.0012069695522882564
291,precursor_miRNA:hsa-mir-210,0.001205772458924075
292,mRNA:NM_003802:5992:NA:1_5992,0.0011943257110482316
293,mRNA:NM_014344:2701:NA:1_2701,0.0011882583993400944
294,mature_miRNA:hsa-miR-98-5p,0.0011848765138240888
295,mRNA:XM_005267299:18171:NA:1_18171,0.0011838979918524688
296,lncRNA:XR_251720:1074:LOC101930031:1_1074,0.0011801107941640959
297,mRNA:NM_001144995:5671:NA:1_5671,0.001179905368655044
298,lncRNA:NR_046243:6699:LOC642366:1_6699,0.0011755747132893846
299,mRNA:NM_015261:5661:NA:1_5661,0.0011704046622978757
300,mRNA:NM_006610:2471:NA:1_2471,0.0011659018331542188
301,lncRNA:XR_428501:752:LOC102724569:1_752,0.001164887433435627
302,mRNA:NM_001117:3259:NA:1_3259,0.0011589247365204002
303,lncRNA:NR_034154:5499:COLCA1:1_5499,0.0011577761817819622
304,lncRNA:NR_110002:556:RP11-298I3.1:1_556,0.0011565899767609577
305,mature_miRNA:hsa-miR-574-3p,0.0011565467504869368
306,mature_miRNA:hsa-miR-20b-5p,0.001151414706667647
307,mRNA:NM_001170747:1605:NA:1_1605,0.00114492825517605
308,lncRNA:NR_033850:2500:WDR11-AS1:1_2500,0.001144545364735537
309,mature_miRNA:hsa-miR-324-3p,0.0011407078965791969
310,mRNA:NM_033027:3188:NA:1_3188,0.001139033734899973
311,lncRNA:NR_003244:2794:HAR1A:1_2794,0.001136541855985075
312,"tRNA:tRNA-Lys,M17621",0.0011212847005799152
313,mRNA:NM_018638:7101:NA:1_7101,0.0010935305326186307
314,mRNA:NM_000108:3579:NA:1_3579,0.001091125872005703
315,mRNA:NM_001253750:1586:NA:1_1586,0.0010909853975110287
316,mRNA:NM_022748:7639:NA:1_7639,0.0010903015135603435
317,mRNA:NM_145056:2834:NA:1_2834,0.0010901822468956952
318,mRNA:NM_001146197:21470:NA:1_21470,0.0010890306749174806
319,"mature_miRNA:dre-miR-101b,fru-miR-101b,tni-miR-101b",0.0010738718116772659
320,mRNA:NM_001080547:1426:NA:1_1426,0.001069955976983743
321,lncRNA:NR_029407:1712:LOC642361:1_1712,0.0010693976855666437
322,lncRNA:NR_038911:2192:LOC284889:1_2192,0.0010671838450490101
323,precursor_miRNA:pxy-mir-6497,0.0010658034118588308
324,tRNA:NT_008705#5835674#5835746#tRNA-Val,0.001062868921495919
325,mRNA:NM_014030:3751:NA:1_3751,0.0010623573140132168
326,mRNA:XM_006719749:10474:NA:1_10474,0.001061296871284457
327,mRNA:NM_001271534:7055:NA:1_7055,0.0010576086478959394
328,precursor_miRNA:hsa-let-7f-1,0.0010574546569258642
329,mRNA:XM_005248904:2642:NA:1_2642,0.0010503220263550815
330,mRNA:NM_001271594:9345:NA:1_9345,0.001045591829754228
331,mRNA:NM_001114331:4164:NA:1_4164,0.0010390809768793302
332,mRNA:XM_005271167:729:NA:1_729,0.0010381761682020459
333,mRNA:NM_001256064:3528:NA:1_3528,0.0010325041637597864
334,lncRNA:NR_046312:7605:KIAA1656:1_7605,0.001030284282765689
335,precursor_miRNA:hsa-mir-4419a,0.0010292992244566356
336,mRNA:NM_004053:2005:NA:1_2005,0.0010237568517854402
337,mature_miRNA:hsa-miR-876-5p,0.0010217342310042052
338,mRNA:XM_005245411:4076:NA:1_4076,0.0010200371771911416
339,lncRNA:NR_046514:2986:SOX21-AS1:1_2986,0.0010192903804693942
340,lncRNA:XR_251810:3085:RP11-141O11.2:1_3085,0.0010179623518801213
341,mature_miRNA:hsa-miR-758-3p,0.0010173721440984553
342,mRNA:XM_005273726:3439:NA:1_3439,0.0010165724774809242
343,mature_miRNA:hsa-miR-4510,0.001009369962352938
344,lncRNA:NR_047679:2967:UGDH-AS1:1_2967,0.0010053695720047059
345,lncRNA:NR_040245:1895:LINC00941:1_1895,0.0010042992095827899
346,mature_miRNA:ssa-miR-181b-5p,0.0010016313804222495
347,mRNA:NM_014830:6256:NA:1_6256,0.0010009948848744782
348,mRNA:NM_018841:4427:NA:1_4427,0.000995860568318567
349,GNOMON_233136771,0.0009831953245494959
350,mature_miRNA:hsa-miR-182-5p,0.0009817091252377998
351,tRNA:NT_010393#14319750#14319821#tRNA-Thr,0.0009804722041224544
352,mRNA:XM_005252446:1140:NA:1_1140,0.000977883327376248
353,C-TESTI4001348,0.000971294545570416
354,mRNA:NM_014702:8124:NA:1_8124,0.0009688654345215337
355,mRNA:XM_005268998:5131:NA:1_5131,0.0009667467236706526
356,mRNA:NM_001879:6476:NA:1_6476,0.0009623252731676216
357,GNOMON_193671471,0.0009622665321382907
358,lncRNA:NR_037868:4800:SLFNL1-AS1:1_4800,0.0009616152223583378
359,tRNA:NT_023133#25426689#25426761#tRNA-Val,0.0009587172693233774
360,GNOMON_232956046,0.0009577459261830984
361,precursor_miRNA:hsa-mir-4429,0.0009557882846905708
362,C-BRAMY2019277,0.0009521029997467548
363,pseudo:NR_003587:9424:MYO15B:1_9424,0.0009510416592437815
364,mRNA:NM_001402:3528:NA:1_3528,0.0009496999765408612
365,lncRNA:NR_034140:2236:LINC00612:1_2236,0.0009454007473975113
366,mRNA:XM_005272029:3345:NA:1_3345,0.0009443892003991307
367,mRNA:NM_014840:6821:NA:1_6821,0.0009429664801861344
368,mRNA:NM_001145139:1851:NA:1_1851,0.0009413545127181384
369,mRNA:XM_006719163:5954:NA:1_5954,0.0009410999658400214
370,mRNA:NM_032631:2341:NA:1_2341,0.0009409376524127147
371,C-TESTI4013675,0.0009398728268343742
372,mRNA:XM_005261315:5770:NA:1_5770,0.0009384294894379431
373,mRNA:XM_005273863:5883:NA:1_5883,0.0009352078603471602
374,mature_miRNA:hsa-miR-503-5p,0.0009317958799672343
375,mRNA:NM_020755:3144:NA:1_3144,0.0009299183478732546
376,mRNA:NM_015417:1597:NA:1_1597,0.0009216547759719191
377,precursor_miRNA:hsa-mir-502,0.000920461078697921
378,GNOMON_233117091,0.0009192472350759431
379,mRNA:XM_005268009:4756:NA:1_4756,0.0009187850811893626
380,lncRNA:NR_046730:407:AGBL5-AS1:1_407,0.000906417099182651
381,lncRNA:NR_038251:1507:DPH6-AS1:1_1507,0.0009055452213421003
382,mRNA:NM_001190487:1395:NA:1_1395,0.0009011716748160657
383,C-UTERU3000959,0.0009009401035206352
384,piwiRNA:hsa_piR_001043,0.0008992072854904234
385,lncRNA:NR_002323:7115:TUG1:1_7115,0.000897058874011214
386,mRNA:NM_005907:5044:NA:1_5044,0.0008960099159466426
387,mRNA:NM_001008777:2302:NA:1_2302,0.0008905028782302484
388,mRNA:NM_022117:2833:NA:1_2833,0.0008844927923333976
389,precursor_miRNA:hsa-mir-320b-2,0.0008844243628969054
390,mRNA:NM_031243:3702:NA:1_3702,0.0008837774799348916
391,snRNA:NR_023343:130:RNU4ATAC:1_130,0.0008836404600366289
392,mRNA:NM_024345:7944:NA:1_7944,0.0008819715972541215
393,mRNA:XM_005261195:3979:NA:1_3979,0.0008811468218893502
394,mature_miRNA:hsa-miR-628-5p,0.0008769371624868589
395,mRNA:NM_178335:8949:NA:1_8949,0.0008754752714522959
396,mature_miRNA:eca-miR-8986a,0.0008722682361301224
397,mRNA:NM_004096:7531:NA:1_7531,0.0008694044042186842
398,mRNA:XM_005249772:4049:NA:1_4049,0.0008595266356867314
399,lncRNA:NR_103856:2182:AC003665.1:1_2182,0.0008580721895711674
400,mRNA:NM_001190706:527:NA:1_527,0.0008576569472490261
401,mRNA:XM_005259551:3713:NA:1_3713,0.0008504302876458707
402,lncRNA:NR_037585:730:C21orf37:1_730,0.0008494494647217977
403,mRNA:NM_001150:3740:NA:1_3740,0.0008489384934945043
404,lncRNA:NR_037651:1555:HSPB2-C11orf52:1_1555,0.0008463803926275272
405,mRNA:XM_006712761:5056:NA:1_5056,0.0008423634536899629
406,mRNA:NM_007238:5727:NA:1_5727,0.0008393674596178863
407,mature_miRNA:rno-miR-101b-3p,0.0008387743893839319
408,C-THYMU2028379,0.0008323097933351423
409,mRNA:NM_015378:16341:NA:1_16341,0.0008321751070665449
410,mRNA:NM_001142308:6880:NA:1_6880,0.0008317583530528476
411,mRNA:NM_020064:1907:NA:1_1907,0.0008308590303044418
412,mRNA:XM_006710092:1480:NA:1_1480,0.0008303848909638266
413,mRNA:NM_175895:1684:NA:1_1684,0.0008278914335675604
414,mRNA:XM_006721565:1394:NA:1_1394,0.0008261854770063932
415,lncRNA:NR_103542:1840:HCG8:1_1840,0.0008252129443713858
416,mRNA:NM_022068:9733:NA:1_9733,0.0008230548392755013
417,mRNA:NM_006379:5189:NA:1_5189,0.000816014387884974
418,lncRNA:NR_033976:4089:RP11-707A18.1:1_4089,0.0008136042048429823
419,C-HEP17336,0.0008112423697080887
420,mRNA:NM_001098635:4234:NA:1_4234,0.000810610152026801
